size,id,od,width,weight,series
6000,10,26,8,19,6000
6001,12,28,8,22,6000
6002,15,32,9,31,6000
6003,17,35,10,40,6000
6004,20,42,12,68,6000
6005,25,47,12,78,6000
6006,30,55,13,110,6000
6007,35,62,14,15,6000
6008,40,68,15,185,6000
6009,45,75,16,230,6000
6010,50,80,16,26,6000
6011,55,90,18,36,6000
6012,60,95,18,38,6000
6013,65,100,18,434,6000
6014,70,110,20,601,6000
6015,75,115,20,637,6000
6016,80,125,22,849,6000
6017,85,130,22,889,6000
6018,90,140,24,"1,159",6000
6019,95,145,24,"1,209",6000
6020,100,150,24,"1,249",6000
6021,105,160,26,"1,588",6000
6022,110,170,28,"1,958",6000
6024,120,180,28,"2,177",6000
6026,130,200,33,"3,326",6000
6028,140,210,33,"3,556",6000
6030,150,225,35,"4,375",6000
6200,10,30,9,32,6200
6201,12,32,10,35,6200
6202,15,35,11,45,6200
6203,17,40,12,64,6200
6204,20,47,14,103,6200
6205,25,52,15,127,6200
6206,30,62,16,200,6200
6207,35,72,17,288,6200
6208,40,80,15,368,6200
6209,45,85,19,415,6200
6210,50,90,20,463,6200
6211,55,100,21,606,6200
6212,60,110,22,782,6200
6213,65,120,23,989,6200
6214,70,125,24,"1,069",6200
6215,75,130,25,"1,179",6200
6216,80,140,26,"1,398",6200
6217,85,150,28,"1,788",6200
6218,90,160,30,"2,147",6200
6219,95,170,32,"2,617",6200
6220,100,180,34,"3,136",6200
6221,105,190,36,"3,696",6200
6222,110,200,38,"4,355",6200
6224,120,215,40,"5,623",6200
6226,130,230,40,"6,233",6200
6228,140,250,42,"8,060",6200
6230,150,270,45,"10,288",6200
6300,10,35,11,54,6300
6301,12,37,12,59,6300
6302,15,42,13,82,6300
6303,17,47,14,109,6300
6304,20,52,15,141,6300
6305,25,62,17,218,6300
6306,30,72,19,350,6300
6307,35,80,21,454,6300
6308,40,90,23,640,6300
6309,45,100,25,872,6300
6310,50,110,27,"1,067",6300
6311,55,120,29,"1,367",6300
6312,60,130,31,"1,698",6300
6313,65,140,33,"2,079",6300
6314,70,150,35,"2,515",6300
6315,75,160,37,"3,015",6300
6316,80,170,39,"3,587",6300
6317,85,180,41,"4,227",6300
6318,90,190,43,"4,903",6300
6319,95,200,45,"5,661",6300
6320,100,215,47,"6,992",6300
6321,105,225,49,"8,040",6300
6322,110,240,50,"9,529",6300
6324,120,260,55,"12,785",6300
6326,130,280,58,"18,278",6300
6328,140,300,62,"22,273",6300
6330,150,320,65,"26,668",6300
6701,12,18,4,2,6700
6702,15,21,4,2,6700
6703,17,23,4,3,6700
6704,20,27,4,5,6700
6705,25,32,4,7,6700
6706,30,37,4,8,6700
6707,35,44,5,10,6700
6800,10,19,5,5,6800
6801,12,21,5,6,6800
6802,15,24,5,7,6800
6803,17,26,5,8,6800
6804,20,32,7,19,6800
6805,25,37,7,22,6800
6806,30,42,7,26,6800
6807,35,47,7,29,6800
6808,40,52,7,33,6800
6809,45,58,7,40,6800
6810,50,65,7,52,6800
6811,55,72,9,83,6800
6812,60,78,10,104,6800
6813,65,85,10,126,6800
6814,70,90,10,134,6800
6815,75,95,10,142,6800
6816,80,100,10,150,6800
6817,85,110,13,266,6800
6818,90,115,13,279,6800
6819,95,120,13,704,6800
6820,100,125,13,309,6800
6821,105,130,13,324,6800
6822,110,140,16,605,6800
6824,120,150,16,654,6800
6826,130,165,18,938,6800
6828,140,175,18,999,6800
6830,150,190,20,"1,398",6800
6900,10,22,6,5,6900
6901,12,24,6,5,6900
6902,15,28,7,8,6900
6903,17,30,7,8,6900
6904,20,37,9,16,6900
6905,25,42,9,19,6900
6906,30,47,9,20,6900
6907,35,55,10,33,6900
6908,40,62,12,51,6900
6909,45,68,12,60,6900
6910,50,72,12,60,6900
6911,55,80,13,84,6900
6912,60,85,13,47,6900
6913,65,90,13,96,6900
