size,id,od,width,weight,series
6914,70,100,16,155,6900
6915,75,105,16,165,6900
6916,80,110,16,173,6900
6917,85,120,18,243,6900
6918,90,125,18,257,6900
6919,95,130,18,320,6900
6920,100,140,20,436,6900
6921,105,145,20,454,6900
6922,110,150,20,472,6900
6924,120,165,22,640,6900
6926,130,180,24,844,6900
6928,140,190,24,899,6900
6930,150,210,28,"1,385",6900
603,3,9,5,1,600
604,4,12,4,2,600
605,5,14,5,3,600
606,6,17,6,6,600
607,7,19,6,8,600
608,8,22,7,12,600
609,9,24,7,16,600
623,3,10,4,2,600
624,4,13,5,3,600
625,5,16,5,4,600
626,6,19,6,8,600
627,7,22,7,14,600
628,8,24,8,16,600
629,9,26,8,19,600
633,3,13,5,3,600
634,4,16,5,5,600
635,5,19,6,8,600
636,6,22,7,13,600
637,7,26,9,24,600
638,8,28,9,29,600
639,9,30,10,35,600
673,3,6,2.5,0,600
674,4,7,2.5,0,600
675,5,8,2.5,0,600
676,6,10,3,1,600
677,7,11,3,1,600
678,8,12,3.5,1,600
683,3,7,3,0,600
684,4,9,4,1,600
685,5,11,5,1,600
686,6,13,5,2,600
687,7,14,5,2,600
688,8,16,5,3,600
689,9,17,5,3,600
693,3,8,4,1,600
694,4,11,4,2,600
695,5,13,4,2,600
696,6,15,5,4,600
697,7,17,5,5,600
698,8,19,6,7,600
699,9,20,6,8,600
F603,3,9,5,1,F600
F604,4,12,4,2,F600
F605,5,14,5,4,F600
F606,6,17,6,6,F600
F607,7,19,6,9,F600
F608,8,22,7,13,F600
F623,3,10,4,2,F600
F624,4,13,5,3,F600
F625,5,16,5,5,F600
F626,6,19,6,9,F600
F627,7,22,7,14,F600
F634,4,16,5,6,F600
F635,5,19,6,9,F600
F683,3,7,3,0,F600
F684,4,9,4,1,F600
F685,5,11,5,1,F600
F686,6,13,5,2,F600
F687,7,14,5,2,F600
F688,8,16,5,4,F600
F689,9,17,5,4,F600
F693,3,8,4,1,F600
F694,4,11,4,2,F600
F695,5,13,4,3,F600
F696,6,15,5,4,F600
F697,7,17,5,6,F600
F698,8,19,6,8,F600
F699,9,20,6,9,F600
MR104,4,10,4,1,MR
MR105,5,10,4,1,MR
MR106,6,10,3,1,MR
MR117,7,11,3,1,MR
MR126,6,12,4,1,MR
MR128,8,12,3.5,1,MR
MR137,7,13,4,2,MR
MR148,8,14,4,2,MR
MR31,1,3,-,0,MR
MR41,1.2,4,2.5,0,MR
MR52,2,5,2.5,0,MR
MR62,2,6,2.5,0,MR
MR63,3,6,2.5,0,MR
MR72,2,7,3,0,MR
MR74,4,7,2.5,0,MR
MR82,2.5,8,3,1,MR
MR83,3,8,3,1,MR
MR84,4,8,3,0,MR
MR85,5,8,2.5,0,MR
MR93,3,9,4,1,MR
MR95,5,9,3,0,MR
16001,12,28,7,19,16000
16002,15,32,8,25,16000
16003,17,35,8,27,16000
16004,20,42,8,50,16000
16005,25,47,8,60,16000
16006,30,55,9,85,16000
16007,35,62,9,100,16000
16008,40,68,9,130,16000
16009,45,75,10,170,16000
16010,50,80,10,180,16000
16011,55,90,11,260,16000
16012,60,95,11,280,16000
16013,65,100,11,300,16000
16014,70,110,13,440,16000
16015,75,115,13,462,16000
16016,80,125,14,620,16000
16017,85,130,14,651,16000
16018,90,140,16,872,16000
16019,95,145,16,903,16000
16020,100,150,16,944,16000
16021,105,160,18,"1,239",16000
16022,110,170,19,"1,508",16000
62200,10,30,14,44,62000
62201,12,32,14,53,62000
62202,15,35,14,65,62000
62203,17,40,16,96,62000
62204,20,47,18,145,62000
62205,25,52,18,172,62000
62206,30,62,20,275,62000
62207,35,72,23,410,62000
62208,40,80,23,615,62000
62209,45,85,23,624,62000
62210,50,90,23,725,62000
5200,10,30,14.2,49,5200
5201,12,32,15.8,12,5200
5202,15,35,15.8,64,5200
5203,17,40,17.4,96,5200
5204,20,47,20.6,153,5200
5205,25,52,20.6,175,5200
5206,30,62,23.8,286,5200
5207,35,72,26.9,436,5200
5208,40,80,30.1,590,5200
5209,45,85,30.1,640,5200
5210,50,90,30.1,690,5200
5211,55,100,33.3,"1,117",5200
5212,60,110,36.5,"1,426",5200
5213,65,120,38.1,"1,916",5200
5214,70,125,39.6,"2,061",5200
5215,75,130,41.2,"2,479",5200
5216,80,140,44.4,"2,978",5200
5300,10,35,19.05,95,5300
5301,12,37,19.05,104,5300
5302,15,42,19.05,132,5300
5303,17,47,22.22,195,5300
5304,20,52,22.22,236,5300
5305,25,62,25.4,341,5300
5306,30,72,30.16,513,5300
5307,35,80,34.92,795,5300
5308,40,90,36.51,"1,049",5300
5309,45,100,39.68,"1,421",5300
5310,50,110,44.45,"1,930",5300
5311,55,120,49.21,"2,297",5300
5312,60,130,53.97,"3,160",5300
5313,65,140,58.73,"3,909",5300
5314,70,150,63.5,"4,903",5300
5315,75,160,68.26,"5,493",5300
5316,80,170,68.26,"6,810",5300
